"algorithm","name","n-gram","percision","recall","acc","FailAlarm","TP","FP","TN","FN"
"RandomForest","index.html","2","0.9583333333333334","1.0","0.98","0.037037037037037035","92","4","104","0"
"NaiveBayes","index.html","2","0.946236559139785","0.9565217391304348","0.955","0.046296296296296294","88","5","103","4"
"RandomForest","index.html","3","0.9473684210526315","1.0","0.9747474747474747","0.046296296296296294","90","5","103","0"
"NaiveBayes","index.html","3","0.9550561797752809","0.9444444444444444","0.9545454545454546","0.037037037037037035","85","4","104","5"
"RandomForest","index_loaded.html","2","0.9893617021276596","1.0","0.995","0.009345794392523364","93","1","106","0"
"NaiveBayes","index_loaded.html","2","0.9886363636363636","0.9354838709677419","0.965","0.009345794392523364","87","1","106","6"
"RandomForest","index_loaded.html","3","0.9893617021276596","1.0","0.995","0.009345794392523364","93","1","106","0"
"NaiveBayes","index_loaded.html","3","0.9764705882352941","0.8924731182795699","0.94","0.018691588785046728","83","2","105","10"
"RandomForest","text_only_index_loaded.html.txt","2","0.9787234042553191","1.0","0.99","0.018518518518518517","92","2","106","0"
"NaiveBayes","text_only_index_loaded.html.txt","2","0.989247311827957","1.0","0.995","0.009259259259259259","92","1","107","0"
"RandomForest","text_only_index_loaded.html.txt","3","0.9772727272727273","1.0","0.9895833333333334","0.018867924528301886","86","2","104","0"
"NaiveBayes","text_only_index_loaded.html.txt","3","0.9772727272727273","1.0","0.9895833333333334","0.018867924528301886","86","2","104","0"
